date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:39	36825/36825	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2009:49:55%20GMT	https://jsonformatter.org/xml-tools-online	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/xml-tools-online.html	(from https://jsonformatter.org/)
11:04:39	36162/36162	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Oct%202024%2009:56:32%20GMT	https://jsonformatter.org/yaml-tools-online	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/yaml-tools-online.html	(from https://jsonformatter.org/)
11:04:39	33870/33870	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Oct%202024%2004:04:17%20GMT	https://jsonformatter.org/formatter-tools-online	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/formatter-tools-online.html	(from https://jsonformatter.org/)
11:04:40	44463/44463	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Oct%202024%2000:27:04%20GMT	https://jsonformatter.org/data-to-class-tools-online	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/data-to-class-tools-online.html	(from https://jsonformatter.org/)
11:04:40	35726/35726	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2007:26:50%20GMT	https://jsonformatter.org/javascript-pretty-print	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/javascript-pretty-print.html	(from https://jsonformatter.org/)
11:04:40	34714/34714	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202024%2018:34:05%20GMT	https://jsonformatter.org/json5-formatter	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json5-formatter.html	(from https://jsonformatter.org/)
11:04:40	34415/34415	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2007:35:00%20GMT	https://jsonformatter.org/json5-validator	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json5-validator.html	(from https://jsonformatter.org/)
11:04:40	33056/33056	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2007:46:11%20GMT	https://jsonformatter.org/url-encode	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/url-encode.html	(from https://jsonformatter.org/)
11:04:41	33124/33124	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Oct%202024%2011:18:38%20GMT	https://jsonformatter.org/url-decode	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/url-decode.html	(from https://jsonformatter.org/)
11:04:41	33177/33177	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202024%2018:02:59%20GMT	https://jsonformatter.org/json-url-encode	C:/Users/LongLD/Desktop/html/test/jsonformatter.org/json-url-encode.html	(from https://jsonformatter.org/)
